"","platform_code","longitude","latitude","Set"
"1",1,-82,-33,2
"2",2,-87,-34,1
"3",3,-86,-27,2
"4",4,-82,-33,1
"5",5,-82,-32,1
"6",6,-83,-28,3
"7",7,-81,-32,1
"8",8,-78,-31,2
"9",9,-82,-32,1
"10",10,-88,-34,2
"11",11,-87,-31,2
"12",12,-89,-29,1
"13",13,-82,-34,1
"14",14,-81,-33,1
"15",15,-80,-28,1
"16",16,-80,-28,2
"17",17,-83,-30,1
"18",18,-84,-34,2
"19",19,-89,-28,3
"20",20,-86,-34,3
"21",21,-71,-20,2
"22",22,-71,-20,1
"23",23,-78,-21,1
"24",24,-81,-24,3
"25",25,-77,-21,1
"26",26,-79,-21,1
"27",27,-79,-22,1
"28",28,-73,-22,3
"29",29,-75,-26,2
"30",30,-72,-21,3
"31",31,-70,-20,1
"32",32,-71,-26,1
"33",33,-76,-23,3
"34",34,-74,-23,1
"35",35,-78,-21,3
"36",36,-71,-26,2
"37",37,-80,-29,2
"38",38,-76,-28,1
"39",39,-81,-28,1
"40",40,-74,-20,3
"41",41,-76,-26,3
"42",42,-75,-26,2
"43",43,-78,-27,2
"44",44,-78,-25,2
"45",45,-75,-26,2
"46",46,-78,-27,3
"47",47,-78,-27,2
"48",48,-79,-25,3
"49",49,-79,-25,3
"50",50,-76,-26,1
