"","platform_code","longitude","latitude","Set"
"1",1,138,32,3
"2",2,139,33,2
"3",3,143,31,2
"4",4,140,34,2
"5",5,147,32,3
"6",6,143,31,1
"7",7,143,34,1
"8",8,135,25,3
"9",9,139,28,1
"10",10,147,29,2
"11",11,136,27,1
"12",12,146,32,2
"13",13,148,34,3
"14",14,134,29,3
"15",15,133,31,2
"16",16,149,33,1
"17",17,147,30,3
"18",18,134,31,1
"19",19,134,29,1
"20",20,145,33,2
"21",21,149,33,2
"22",22,143,28,3
"23",23,137,25,2
"24",24,148,28,2
"25",25,148,34,3
"26",26,141,27,3
"27",27,142,32,3
"28",28,140,32,3
"29",29,143,30,3
"30",30,147,27,2
"31",31,140,29,2
"32",32,141,26,2
"33",33,148,33,2
"34",34,148,32,1
"35",35,148,28,1
