"","platform_code","longitude","latitude","Set"
"1",1,24,32,1
"2",2,33,32,2
"3",3,38,33,1
"4",4,36,32,3
"5",5,23,36,1
"6",6,25,35,2
"7",7,28,34,2
"8",8,39,31,3
"9",9,28,36,1
"10",10,28,32,1
"11",11,25,30,1
"12",12,31,38,1
"13",13,21,31,1
"14",14,25,35,1
"15",15,25,39,2
"16",16,22,39,1
"17",17,24,28,1
"18",18,34,30,2
"19",19,25,37,3
"20",20,37,32,2
"21",21,21,39,1
"22",22,21,38,2
"23",23,20,29,2
"24",24,30,31,2
"25",25,34,34,1
"26",26,30,35,1
"27",27,29,28,3
"28",28,32,39,3
"29",29,32,38,1
"30",30,33,39,2
"31",31,35,29,2
"32",32,22,31,3
"33",33,29,37,3
"34",34,29,29,1
"35",35,32,37,2
"36",36,36,39,3
"37",37,21,33,3
"38",38,21,38,2
"39",39,38,30,3
"40",40,30,33,2
"41",41,26,37,3
"42",42,30,30,3
"43",43,32,38,2
"44",44,32,29,1
"45",45,39,37,3
"46",46,24,36,3
"47",47,20,36,2
"48",48,36,35,2
"49",49,21,34,3
"50",50,24,33,1
