"","platform_code","longitude","latitude","Set"
"1",1,79,-37,3
"2",2,81,-30,3
"3",3,68,-31,1
"4",4,61,-38,2
"5",5,75,-37,1
"6",6,65,-33,2
"7",7,61,-34,1
"8",8,69,-34,1
"9",9,63,-32,3
"10",10,81,-34,2
"11",11,65,-34,3
"12",12,83,-31,3
"13",13,62,-31,1
"14",14,75,-32,3
"15",15,60,-37,1
"16",16,77,-38,1
"17",17,56,-31,2
"18",18,80,-36,2
"19",19,71,-33,1
"20",20,81,-39,1
"21",21,56,-36,1
"22",22,81,-31,1
"23",23,63,-37,2
"24",24,70,-31,1
"25",25,67,-35,1
"26",26,74,-35,2
"27",27,70,-34,2
"28",28,67,-35,3
"29",29,84,-34,2
"30",30,83,-36,1
"31",31,75,-36,1
"32",32,63,-34,2
"33",33,77,-31,3
"34",34,65,-31,3
"35",35,67,-37,1
"36",36,73,-30,3
"37",37,56,-33,3
"38",38,57,-31,3
"39",39,60,-37,3
"40",40,63,-33,1
